Sig_day,Sig_time,Validated,Val_day,Val_time,Label,is_covid,Method,Person,Start_time,sig_day_time,val_day_time
23/11/2020,02:00:00,yes,23/11/2020,09:35:00,Topic 72,no,epitweetr,EI expert 2,09:28:00,23/11/2020 02:00,23/11/2020 09:35
19/10/2020,15:21:00,yes,19/10/2020,15:31:00,Topic 73,no,Twitter,EI expert 1,15:30:00,19/10/2020 15:21,19/10/2020 15:31
13/11/2020,15:00:00,no,13/11/2020,15:20:00,Topic 73,no,Twitter,EI expert 2,17:14:00,13/11/2020 15:00,13/11/2020 15:20
21/10/2020,19:00:00,no,22/10/2020,09:11:00,Topic 74,no,epitweetr,EI expert 1,09:00:00,21/10/2020 19:00,22/10/2020 09:11
28/10/2020,03:00:00,no,28/10/2020,09:10:00,Topic 75,no,epitweetr,EI expert 1,09:00:00,28/10/2020 03:00,28/10/2020 09:10
11/11/2020,15:00:00,no,12/11/2020,09:00:00,Topic 75,no,epitweetr,EI expert 2,16:00:00,11/11/2020 15:00,12/11/2020 09:00
11/11/2020,15:00:00,no,12/11/2020,09:00:00,Topic 75,no,epitweetr,EI expert 2,16:00:00,11/11/2020 15:00,12/11/2020 09:00
03/11/2020,20:00:00,yes,04/11/2020,09:44:00,Topic 76,no,epitweetr,EI expert 2,09:30:00,03/11/2020 20:00,04/11/2020 09:44
03/11/2020,15:00:00,yes,04/11/2020,09:44:00,Topic 76,no,epitweetr,EI expert 2,09:30:00,03/11/2020 15:00,04/11/2020 09:44
03/11/2020,23:00:00,yes,04/11/2020,09:44:00,Topic 76,no,epitweetr,EI expert 2,09:30:00,03/11/2020 23:00,04/11/2020 09:44
03/11/2020,12:00:00,yes,04/11/2020,09:44:00,Topic 76,no,epitweetr,EI expert 2,09:30:00,03/11/2020 12:00,04/11/2020 09:44
03/11/2020,15:00:00,yes,04/11/2020,09:44:00,Topic 76,no,epitweetr,EI expert 2,09:30:00,03/11/2020 15:00,04/11/2020 09:44
03/11/2020,15:00:00,yes,04/11/2020,09:47:00,Topic 76,no,epitweetr,EI expert 2,09:30:00,03/11/2020 15:00,04/11/2020 09:47
23/11/2020,21:00:00,yes,24/11/2020,09:21:00,Topic 77,no,epitweetr,EI expert 1,09:00:00,23/11/2020 21:00,24/11/2020 09:21
23/11/2020,16:00:00,yes,24/11/2020,09:21:00,Topic 77,no,epitweetr,EI expert 1,09:00:00,23/11/2020 16:00,24/11/2020 09:21
23/11/2020,16:00:00,yes,24/11/2020,09:21:00,Topic 77,no,epitweetr,EI expert 1,09:00:00,23/11/2020 16:00,24/11/2020 09:21
23/11/2020,16:00:00,yes,24/11/2020,09:21:00,Topic 77,no,epitweetr,EI expert 1,09:00:00,23/11/2020 16:00,24/11/2020 09:21
23/11/2020,16:00:00,yes,24/11/2020,09:21:00,Topic 77,no,epitweetr,EI expert 1,09:00:00,23/11/2020 16:00,24/11/2020 09:21
